book_id,rating
1,3.4
1,2.5
1,4.2
1,3.6
1,2.1
1,4.3
1,1.8
1,3.0
1,2.2
1,3.8
1,2.1
1,2.0
1,3.3
1,1.7
1,3.4
2,4.2
2,1.4
2,2.4
2,1.2
2,3.1
2,2.0
2,2.7
3,4.4
3,2.4
3,3.4
3,2.1
3,3.9
3,4.7
3,1.9
3,4.2
3,1.6
3,2.2
3,1.3
3,4.2
3,3.0
3,2.6
3,4.8
3,4.9
3,1.0
3,1.1
4,2.0
4,2.6
4,4.3
4,3.0
4,3.0
4,2.7
4,2.1
4,5.0
4,4.1
4,4.4
4,3.1
4,4.5
4,4.2
5,4.0
5,3.9
5,2.9
5,1.1
5,4.5
5,4.1
5,2.8
5,2.5
5,4.0
5,2.5
5,2.5
5,2.2
5,4.0
6,3.7
6,1.3
6,3.2
6,2.0
6,4.4
6,2.4
6,4.1
6,3.6
6,1.4
6,4.9
6,4.9
6,2.9
6,1.4
6,4.5
7,1.5
7,1.5
7,4.8
7,2.3
7,3.8
7,2.0
7,1.4
7,2.1
7,4.6
7,3.1
7,3.7
7,2.2
7,4.5
7,4.4
7,3.9
7,4.6
7,4.4
7,4.8
8,3.4
8,3.8
8,1.1
8,4.2
8,1.1
8,1.7
8,4.6
8,3.1
8,1.3
8,2.6
8,4.2
8,4.7
8,2.5
8,2.2
8,3.1
9,1.6
9,2.2
9,1.0
9,1.0
9,1.1
9,2.8
9,1.0
9,4.2
9,4.4
9,4.5
9,1.1
9,2.5
9,3.7
9,1.3
9,4.7
9,3.2
9,2.8
9,4.2
10,2.7
10,4.5
10,1.0
10,1.0
10,1.7
10,3.7
11,2.3
11,3.7
11,2.2
11,2.5
11,3.4
11,3.1
11,3.5
11,3.4
11,3.4
11,5.0
11,4.0
11,4.8
11,4.8
11,4.9
11,4.2
11,4.3
11,4.9
11,3.5
11,1.8
12,2.1
12,2.5
12,2.2
12,2.6
12,3.3
12,4.2
12,3.3
12,2.4
12,4.7
12,3.3
12,1.7
12,4.3
12,4.9
12,4.2
12,4.9
12,1.8
12,2.5
12,4.6
12,4.9
12,4.7
13,2.5
13,2.2
13,4.5
13,4.7
13,1.9
13,4.3
13,3.0
13,3.5
13,1.1
14,1.5
14,1.4
14,4.2
14,4.6
14,4.8
14,3.5
14,2.6
14,2.0
14,4.5
14,4.0
14,2.3
14,2.1
14,2.3
14,1.5
14,4.7
14,3.0
14,2.9
14,2.4
14,4.1
14,3.4
15,1.4
15,4.7
15,1.9
15,4.3
15,4.4
15,4.9
15,2.9
16,2.8
16,2.1
16,4.7
16,3.2
16,4.6
16,2.9
16,1.9
16,1.8
16,3.6
16,2.2
16,1.8
17,1.0
17,2.4
17,5.0
17,3.5
17,1.1
17,4.0
17,3.6
17,3.9
17,2.2
17,3.7
17,3.3
17,2.7
17,2.2
17,4.0
17,2.2
17,1.1
17,2.9
17,3.1
17,2.3
17,1.5
18,4.2
18,2.4
18,1.1
18,3.6
18,2.0
18,2.1
18,3.4
19,3.9
19,3.3
19,2.6
19,5.0
19,4.5
19,4.8
19,4.7
19,3.8
19,3.4
19,3.4
19,3.0
20,2.9
20,3.0
20,1.3
20,3.8
20,2.4
20,2.7
20,4.9
20,1.2
20,2.7
20,1.2
20,1.4
20,4.5
20,3.6
20,3.8
20,2.1
20,2.7
20,1.6
20,4.5
21,3.9
21,2.1
21,2.2
21,2.0
21,4.4
21,1.8
21,3.1
21,1.1
21,3.2
21,1.4
21,1.6
21,3.1
21,3.0
21,1.2
21,2.3
22,2.8
22,1.8
22,3.0
22,4.8
22,4.0
22,4.5
22,1.5
22,4.5
22,3.5
22,3.4
22,4.1
22,1.9
22,3.7
22,3.6
22,3.8
22,4.5
22,3.4
23,2.9
23,1.3
23,2.4
23,3.7
23,1.5
23,2.8
23,1.7
23,1.5
23,1.4
23,3.4
23,2.1
23,2.3
24,4.1
24,4.1
24,2.4
24,3.1
24,4.0
24,4.5
24,4.2
24,3.7
24,1.2
24,4.9
24,2.6
24,4.9
24,2.8
24,3.9
24,3.0
25,2.5
25,2.7
25,3.7
25,1.8
25,2.8
26,4.5
26,4.3
26,4.7
26,1.2
26,1.6
26,2.9
26,2.3
26,1.4
26,2.4
26,2.9
26,3.4
26,2.2
26,2.7
26,4.2
27,1.1
27,2.1
27,4.6
27,3.7
27,1.9
27,1.9
27,4.9
27,4.0
27,2.8
27,1.6
27,3.6
27,3.3
27,4.2
27,3.1
27,4.2
27,2.2
27,4.1
27,2.2
27,3.4
28,1.6
28,1.2
28,3.9
28,3.3
28,1.4
28,3.2
28,3.5
28,1.6
28,3.9
28,2.7
28,1.0
28,2.4
28,3.1
28,4.8
28,2.5
28,3.1
28,4.3
28,3.0
28,3.7
29,4.1
29,2.3
29,4.6
29,1.5
29,3.8
29,2.0
29,2.1
29,3.9
29,2.8
29,4.4
29,3.4
29,2.3
29,2.1
29,4.6
29,4.9
29,4.7
29,2.8
30,1.2
30,1.4
30,1.8
30,2.5
30,1.8
30,4.4
31,4.2
31,4.7
31,3.5
31,1.4
31,2.9
31,4.1
31,3.3
31,2.0
31,3.6
31,4.7
31,4.0
31,3.3
32,1.7
32,3.8
32,2.8
32,2.0
32,2.0
32,5.0
32,3.8
32,1.6
32,3.8
32,3.4
32,2.3
32,4.1
32,1.6
33,4.6
33,1.5
33,4.5
33,1.8
33,3.2
33,3.7
33,4.3
33,3.6
33,4.6
33,2.1
33,4.3
33,4.9
33,1.9
33,2.5
33,1.2
33,2.9
33,1.6
33,3.6
34,1.5
34,3.5
34,2.4
34,4.7
34,4.1
34,3.5
34,4.0
34,2.4
34,2.9
34,4.3
34,4.2
34,3.2
34,4.7
34,1.1
34,5.0
34,3.3
34,4.6
35,1.1
35,1.8
35,3.6
35,3.2
35,1.5
35,4.7
35,3.8
35,1.7
35,2.6
35,4.2
35,4.0
35,1.6
35,3.8
35,2.3
35,2.6
35,2.8
35,4.4
36,2.7
36,4.7
36,3.0
36,2.2
36,4.6
36,2.7
36,2.8
36,4.4
36,4.6
36,2.3
36,4.4
36,3.6
36,1.4
37,1.4
37,1.0
37,2.5
37,2.0
37,1.1
38,4.8
38,4.9
38,4.5
38,2.9
38,4.6
38,3.3
38,1.8
38,1.2
38,3.4
39,2.3
39,1.2
39,3.9
39,1.6
39,3.7
39,4.2
39,2.6
39,2.1
39,2.9
39,3.5
39,4.2
39,4.6
39,2.9
39,4.9
39,1.3
39,1.1
39,2.3
39,3.7
39,2.6
39,1.4
40,4.1
40,2.3
40,3.8
40,2.1
40,3.5
40,1.5
40,1.3
40,3.5
40,2.9
40,3.0
40,4.0
40,1.5
40,1.3
40,3.5
40,4.6
41,1.5
41,5.0
41,4.7
41,2.7
41,1.3
41,1.0
41,1.1
42,3.9
42,3.1
42,2.1
42,1.8
42,2.2
42,2.8
42,3.1
42,2.9
42,2.3
42,4.9
42,2.9
42,4.5
42,1.7
42,2.1
42,3.9
42,3.7
42,3.4
42,2.2
42,1.7
43,4.8
43,4.9
43,3.8
43,4.7
43,4.3
43,3.7
43,3.5
43,1.3
43,4.5
43,1.7
43,1.5
43,4.8
43,4.1
43,1.4
43,2.4
43,4.7
43,1.8
43,2.1
44,1.8
44,2.6
44,4.4
44,4.4
44,1.2
44,1.1
44,4.4
44,3.1
44,2.8
44,1.9
45,1.6
45,2.4
45,4.1
45,3.3
45,2.6
45,3.3
45,4.4
45,3.1
45,4.5
45,1.9
45,2.1
45,4.8
45,1.1
45,2.0
45,4.6
45,5.0
45,2.1
46,4.7
46,1.2
46,1.3
46,3.9
46,2.0
46,4.2
46,3.2
46,3.8
46,1.1
46,3.7
46,2.8
46,4.4
46,2.1
46,3.7
46,2.3
46,3.8
46,4.8
47,4.1
47,1.8
47,3.0
47,1.4
47,1.1
47,4.4
47,4.9
47,2.1
47,3.5
47,4.6
48,3.5
48,2.5
48,4.9
48,4.1
48,4.4
48,2.7
48,2.2
49,1.3
49,1.5
49,4.9
49,3.0
49,1.6
49,3.3
50,3.6
50,2.1
50,1.3
50,1.2
50,1.3
50,1.2
50,4.4
50,2.7
50,2.8
50,4.0
50,4.2
51,1.2
51,3.6
51,2.2
51,4.9
51,3.0
51,2.7
51,4.5
51,4.9
51,4.3
51,1.9
51,1.8
51,3.4
52,2.1
52,3.0
52,4.2
52,1.1
52,1.3
52,4.4
52,1.5
52,2.9
52,1.9
