book_id,price
1,3360
1,2569
1,644
1,4343
1,2485
1,1776
1,629
2,560
2,4253
2,4329
2,798
2,3679
3,1599
3,606
3,3999
3,3941
3,4612
3,3834
3,2718
3,3579
4,633
4,3828
4,3028
4,1780
4,2308
4,1221
4,4568
5,3760
5,1233
5,4048
5,4198
5,2892
5,2505
5,2890
5,1075
5,3351
6,4734
6,1885
6,4654
6,600
7,1833
7,991
7,3613
7,2406
7,1715
7,2405
8,1517
8,3398
8,2541
8,2851
8,4030
9,3919
9,1758
9,1125
9,851
9,3636
10,3412
10,2586
10,1462
10,3769
10,4509
10,4029
10,1568
11,1381
11,3833
11,3921
11,1078
11,1623
11,959
11,2155
11,4346
11,829
11,648
12,1185
12,4751
12,3361
12,1051
12,654
12,1764
12,2036
12,1078
12,4944
12,2337
13,2169
13,3783
13,1297
13,4101
13,2606
13,4005
14,4426
14,2102
14,2099
14,4513
14,629
15,2082
15,4659
15,4105
15,4896
15,3760
15,4684
16,3520
16,1152
16,1737
16,857
16,1068
16,899
16,3674
17,2736
17,867
17,2746
17,2952
17,1705
18,4749
18,4588
18,2763
18,1632
18,4774
18,3709
18,1272
19,2434
19,4682
19,1725
19,2031
19,2537
19,1161
19,4823
19,1484
19,4422
19,3923
20,663
20,4979
20,755
20,1759
21,4382
21,2665
21,3427
21,1411
22,623
22,940
22,3916
22,3609
22,755
22,2373
22,1097
22,3267
22,663
23,2972
23,3430
23,4503
23,565
23,3382
23,4262
23,3471
23,925
24,2338
24,2382
24,1430
24,1407
25,2637
25,1854
25,770
25,3615
26,4314
26,1869
26,4249
26,2621
26,2454
26,4691
26,690
27,2016
27,3864
27,4573
27,3621
28,2790
28,1485
28,1328
28,4192
28,626
28,1741
28,2274
28,4263
28,1489
28,861
29,1469
29,757
29,3613
29,4388
29,4417
30,2371
30,1734
30,4506
30,2245
30,2654
30,3133
30,4610
30,2036
30,897
31,4497
31,2909
31,636
31,2635
31,4646
31,3313
31,3736
32,2453
32,3345
32,2160
32,1463
32,591
32,4358
32,4164
33,2969
33,2384
33,1934
33,1498
33,4730
33,1726
33,4857
33,2002
33,3518
34,1992
34,3309
34,4725
34,695
34,923
34,902
34,4071
34,1543
34,1210
34,3406
35,4112
35,3528
35,3709
35,4522
35,2337
35,3957
35,1774
35,1160
36,997
36,4982
36,4627
36,3561
36,3383
36,515
36,2348
36,3681
36,4090
37,4323
37,1504
37,3224
37,3643
37,4471
37,1956
37,1975
37,1233
37,4209
37,4648
38,825
38,2576
38,2190
39,3973
39,3758
39,3345
39,2445
39,4464
39,1723
39,2342
39,4771
39,956
40,4369
40,2383
40,588
40,3127
40,4516
40,4178
40,3878
41,3187
41,3114
41,986
41,1767
41,4787
41,4169
41,596
41,787
42,2623
42,1545
42,3472
42,1818
42,4008
42,2106
42,838
43,3353
43,2328
43,3048
43,1293
43,4531
44,4329
44,1838
44,1306
44,3678
44,1557
44,3856
45,3074
45,1473
45,4215
45,830
46,3306
46,4640
46,2497
46,2386
46,2765
46,3421
47,963
47,2430
47,4844
47,4492
47,3841
47,4235
47,1445
48,1310
48,4742
48,2817
48,648
48,1535
48,3247
48,4948
48,4021
48,3242
49,1261
49,1153
49,1319
49,1001
49,4284
49,4298
49,582
50,1925
50,988
50,3308
51,4589
51,4726
51,1384
51,515
51,967
51,2655
51,593
51,4590
51,867
51,1426
52,2938
52,2491
52,2452
52,2006
52,4654
52,4359
52,3183
53,3439
53,1096
53,3001
54,4980
54,4234
54,4528
54,3743
55,2262
55,4022
55,3802
55,1404
55,1331
55,2185
55,3269
55,929
56,4736
56,3752
56,4513
56,3682
57,3154
57,1175
57,1917
57,3157
57,2234
57,2203
58,4361
58,1532
58,1448
59,3784
59,4364
59,2118
60,4264
60,4224
60,4078
60,4561
60,874
60,1848
61,4835
61,3057
61,707
62,2975
62,2986
62,2309
63,1190
63,821
63,649
63,4850
63,4610
63,1881
63,4365
64,2362
64,2777
64,2330
64,1271
64,2328
64,2666
64,2343
64,2982
64,3442
64,1798
65,3127
65,1488
65,3810
65,3911
65,1000
65,590
65,3286
66,4369
66,1004
66,1581
66,1457
66,2510
66,3543
66,4858
66,1238
66,4602
67,1565
67,3918
